departement,habitants
Ain,653688
Aisne,528016
Allier,333065
Alpes-de-Haute-Provence,161980
Hautes-Alpes,141784
Alpes-Maritimes,1080899
Ardèche,327011
Ardennes,267409
Ariège,152340
Aube,309117
Aude,368011
Aveyron,277900
Bouches-du-Rhône,2035410
Calvados,691676
Cantal,143627
Charente,350240
Charente-Maritime,646016
Cher,300174
Corrèze,240973
Corse-du-Sud,158800
Haute-Corse,180378
Côte-d'Or,532901
Côtes-d'Armor,596518
Creuse,117340
Dordogne,409548
Doubs,539465
Drôme,517414
Eure,606419
Eure-et-Loir,431437
Finistère,905238
Gard,745756
Haute-Garonne,1390496
Gers,189326
Gironde,1620243
Hérault,1165412
Ille-et-Vilaine,1076330
Indre,217312
Indre-et-Loire,608387
Isère,1262108
Jura,258624
Landes,409325
Loir-et-Cher,330727
Loire,762222
Haute-Loire,226835
Loire-Atlantique,1425592
Loiret,678722
Lot,171770
Lot-et-Garonne,330159
Lozère,75700
Maine-et-Loire,815325
Manche,492627
Marne,567225
Haute-Marne,173041
Mayenne,305021
Meurthe-et-Moselle,731753
Meuse,184474
Morbihan,751309
Moselle,1036153
Nièvre,201518
Nord,2592185
Oise,825207
Orne,279755
Pas-de-Calais,1463196
Puy-de-Dôme,656643
Pyrénées-Atlantiques,679354
Hautes-Pyrénées,225219
Pyrénées-Orientales,481691
Bas-Rhin,1126505
Haut-Rhin,761480
Rhône,1882339
Haute-Saône,233394
Saône-et-Loire,549763
Sarthe,561583
Savoie,432716
Haute-Savoie,829017
Paris,2140526
Seine-Maritime,1248590
Seine-et-Marne,1421735
Yvelines,1436581
Deux-Sèvres,374873
Somme,569662
Tarn,387638
Tarn-et-Garonne,261558
Var,1075649
Vaucluse,563751
Vendée,679024
Vienne,437368
Haute-Vienne,371575
Vosges,361031
Yonne,336532
Territoire de Belfort,143104
Essonne,1314827
Hauts-de-Seine,1606088
Seine-Saint-Denis,1654477
Val-de-Marne,1395209
Val-d'Oise,1243921
